S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
13,Intel Corporation,Software Engineer,Entry level,,NA,Semiconductors,NA,C Python C++,,,,,,,,,,,,,,,,,,,,
14,Siemens Technology India,Back End Software Developer,Entry level,5,NA,Information Technology & Services,NA,PostgreSQL C C# SQL JavaScript,,,,,,,,,,,,,,,,,,,,
15,"DMI (Digital Management, LLC)",Machine Learning Engineer,Entry level,,NA,Information Technology & Services,NA,C Spark Java Python Golang Scala,,,,,,,,,,,,,,,,,,,,
16,GITAM Deemed University,Head Of Department (CSE),152 applicants,12,NA,Higher Education,NA,C,,,,,,,,,,,,,,,,,,,,
17,Primus Professional Services,IOT Application Architect - UI Backend,Associate,12,15,Telecommunications,NA,C Java Python Spring SQL JavaScript NodeJS,,,,,,,,,,,,,,,,,,,,
18,Daimler Trucks Asia,Engineer - Telematics - Java Developer,Entry level,4,7,Automotive,NA,C Java Python,,,,,,,,,,,,,,,,,,,,
19,Telstra,Data Analyst,Entry level,5,NA,Telecommunications,NA,PostgreSQL Spark SQL,,,,,,,,,,,,,,,,,,,,
20,Johnson Controls,Technical Lead – PCB Design,44 applicants,3,10,Mechanical Or Industrial Engineering,NA,C,,,,,,,,,,,,,,,,,,,,
21,remo.care solutions,The Knight (a.k.a Development Lead/Sr. Developer),27 applicants,4,3,Hospital & Health Care,NA,Oracle C Java Node.js Spring SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
22,Chenoa Information Services,Senior Full-Stack Developer,104 applicants,4,NA,Information Technology & Services,NA,C C# SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
23,CyberQ Consulting,Engineering Lead IoT Streaming Analytics Platform,Associate,8,NA,Information Technology & Services,NA,Java AngularJS JavaScript AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
24,Kickdrum,Architect,Director,,NA,Management Consulting,NA,C Java,,,,,,,,,,,,,,,,,,,,
25,Dover India,Manager Software-Support & Operations,110 applicants,1,10,Machinery,NA,C,,,,,,,,,,,,,,,,,,,,
26,Amazon,Software Development Manager,Mid-Senior level,7,3,Internet,NA,C Java Python C++ C/C++,,,,,,,,,,,,,,,,,,,,
27,Faurecia,Software Developer,197 applicants,5,NA,Automotive,NA,C Java Python ReactJS C++ JavaScript Angular Scala,,,,,,,,,,,,,,,,,,,,
28,Texas Instruments,Senior DFT Engineer,Associate,3,6,Semiconductors,NA,C,,,,,,,,,,,,,,,,,,,,
29,ABB,Product Owner,Mid-Senior level,7,12,Electrical & Electronic Manufacturing,NA,C,,,,,,,,,,,,,,,,,,,,
30,Rebel Foods (Formerly Faasos),Product Manager,527 applicants,,NA,Internet,NA,C,,,,,,,,,,,,,,,,,,,,
31,EY,Azure Cloud Engineer,521 applicants,6,10,Accounting,NA,C ReactJS SQL Angular,,,,,,,,,,,,,,,,,,,,
32,Ambetronics Engineers Pvt. Ltd.,"""Embedded /IOT Engineer""",Entry level,2,4,Electrical & Electronic Manufacturing,NA,C,,,,,,,,,,,,,,,,,,,,
33,MathWorks,User Experience Specialist,Mid-Senior level,7,5,Computer Software,NA,C,,,,,,,,,,,,,,,,,,,,
34,EmbedTech Solutions,Embedded Software Developer,46 applicants,2,3,Computer Software,NA,C Python NA,,,,,,,,,,,,,,,,,,,,
35,"Fasal - Grow More, Grow Better™",Entomologist,101 applicants,4,6,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
36,Unnati,Software Engineer (R&D) | Disruptive Electronic Accessories Brand,19 applicants,2,3,Human Resources,NA,C C++ C/C++,,,,,,,,,,,,,,,,,,,,
37,West Pharmaceutical Services,Sr. Solutions Architect-SW D&T Hardware & Embedded Solutions,Associate,8,10,Pharmaceuticals,NA,C,,,,,,,,,,,,,,,,,,,,
38,GE Healthcare,Sr Software Engineer,Associate,8,NA,Hospital & Health Care,NA,Java HTML5 AngularJS Spring Hibernate AngularJS CSS3,,,,,,,,,,,,,,,,,,,,
39,Deloitte India,SOC Specialist,625 applicants,10,5,Management Consulting,NA,C,,,,,,,,,,,,,,,,,,,,
40,Digilytics AI,Digilytics - Software Developer - Java (3-8 yrs) Gurgaon/Gurugram (Analytics & Data Science),Associate,,NA,Financial Services,NA,Oracle C Java CSS Spring Hibernate SQL JavaScript,,,,,,,,,,,,,,,,,,,,
41,L&T Technology Services Limited,"""Cloud Infra Architect """,154 applicants,10,15,Information Technology & Services,NA,C NA,,,,,,,,,,,,,,,,,,,,
42,Rambus,Sr Member Technical Staff II- Firmware Engineering,Associate,6,8,Semiconductors,NA,C Python C++ C/C++,,,,,,,,,,,,,,,,,,,,
43,REBELFOODS LTD,Rebel Foods - Robotics Software Engineer - Digital Image Processing Software Development (2-6 yrs) Mumbai (Emerging Technologies & Roles),Entry level,2,5,Retail,NA,C Java Python C++,,,,,,,,,,,,,,,,,,,,
44,Knowcross,Node.js Developer,Director,,NA,Hospitality,NA,Oracle C Node.js SQL,,,,,,,,,,,,,,,,,,,,
45,Nous Infosystems,Director Of Technology / Chief Architect--with a CMMi level 5 company,426 applicants,15,20,Information Technology & Services,NA,C Java Spring Angular React,,,,,,,,,,,,,,,,,,,,
46,Careator Technologies,Associate Director - Java/J2EE Technologies (12-15 yrs) Chennai (DevOps),Director,10,15,Staffing & Recruiting,NA,C Java SQL,,,,,,,,,,,,,,,,,,,,
47,Eruvaka Technologies,Application Engineering Manager,Mid-Senior level,8,3,Electrical & Electronic Manufacturing,NA,C Python Node.js SQL React PHP,,,,,,,,,,,,,,,,,,,,
48,Eaton,Senior Engineer,Mid-Senior level,6,7,Electrical & Electronic Manufacturing,NA,C Python C++,,,,,,,,,,,,,,,,,,,,
49,"Tivix, Inc.",QA Automation Engineer,Entry level,2,NA,Information Technology & Services,NA,C Python,,,,,,,,,,,,,,,,,,,,
50,Indus Net Technologies,MEAN-MERN Stack Tech Lead,23 applicants,7,NA,Outsourcing/Offshoring,NA,PostgreSQL C SQL JavaScript Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
51,DXC Technology,AWS Architect,Mid-Senior level,12,20,Information Technology & Services,NA,Oracle C Python Node.js JavaScript,,,,,,,,,,,,,,,,,,,,
52,BORQS,Senior / Lead Engineer,Associate,6,NA,Telecommunications,NA,C Java Node.js AngularJS NA SQL AngularJS,,,,,,,,,,,,,,,,,,,,
53,eInfochips (An Arrow Company),"Delivery Manager [Java,AWS,IOT]",33 applicants,14,NA,Information Technology & Services,NA,C Java,,,,,,,,,,,,,,,,,,,,
54,Cypress Semiconductors,Sr Staff Elect Design Engr 1,Associate,,NA,Renewables & Environment,NA,C Python,,,,,,,,,,,,,,,,,,,,
55,Carrier HVAC,Mobile Architect,130 applicants,7,9,Mechanical Or Industrial Engineering,NA,C Java Python,,,,,,,,,,,,,,,,,,,,
56,CommScope,Engineer Services,Entry level,25,5,Telecommunications,NA,Oracle C NA,,,,,,,,,,,,,,,,,,,,
57,Quovantis Technologies,Quovantis Technologies - Software Engineer - ASP/.Net (2-6 yrs) Noida,Entry level,2,4,Computer Software,NA,C C# ASP.NET SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
58,ACURA SOLUTIONS LTD,Technical Architect,Associate,5,8,Real Estate,NA,Java SQL Angular React,,,,,,,,,,,,,,,,,,,,
59,Amazon Web Services (AWS),Sr Big Data consultant - AWS Professional Services,Mid-Senior level,12,5,Information Technology & Services,NA,C Spark Java Python NA SQL,,,,,,,,,,,,,,,,,,,,
60,Wabtec Corporation,Senior Engineer,Associate,6,NA,Transportation/Trucking/Railroad,NA,C Python SQL,,,,,,,,,,,,,,,,,,,,
61,Fission Labs,Sr. UI Engineer(React/Reactnative/Angular/Node)Immediate Joiners,Associate,4,5,Computer Software,NA,HTML5 ReactJS AngularJS JavaScript AngularJS Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
62,Danaher Corporation,"Staff Software Engineer(C++,C#,.Net)",187 applicants,10,8,Medical Device,NA,C# C++,,,,,,,,,,,,,,,,,,,,
63,Irdeto,Senior Software Engineer,50 applicants,,NA,Information Technology & Services,NA,C Java NA C++ C/C++,,,,,,,,,,,,,,,,,,,,
64,Epicor Software,Senior Product Developer - Python/Django,Associate,5,NA,Computer Software,NA,C Python JavaScript,,,,,,,,,,,,,,,,,,,,
65,Cypress Semiconductor Corporation,Sr Staff Elect Design Engr 1,Associate,0,NA,Semiconductors,NA,C Python C++ C/C++,,,,,,,,,,,,,,,,,,,,
66,Signify,Lead Designer - User Experience (UX/IxD),Mid-Senior level,10,NA,Electrical & Electronic Manufacturing,NA,C,,,,,,,,,,,,,,,,,,,,
67,Miko,Miko - Senior Backend Developer - Java Programming (3-5 yrs) Mumbai,Associate,70,200,Consumer Electronics,NA,C Spark Java Python Spring SQL JavaScript Scala NodeJS PHP,,,,,,,,,,,,,,,,,,,,
68,Silicon Labs,Sr RF Validation Engineer,Associate,3,NA,Semiconductors,NA,C,,,,,,,,,,,,,,,,,,,,
69,Orotron,NodeJS Developer,257 applicants,2,NA,Information Technology & Services,NA,Spark JavaScript NodeJS,,,,,,,,,,,,,,,,,,,,
70,Microchip Technology Inc.,Senior Engineer-I– SPG Application team,Mid-Senior level,5,NA,Semiconductors,NA,C Python HTML5 C++ CSS JavaScript,,,,,,,,,,,,,,,,,,,,
71,HyreFox Consultants,Full Stack Developer,Entry level,,NA,Human Resources,NA,C C# Python HTML5 SQL Angular CSS3 NodeJS,,,,,,,,,,,,,,,,,,,,
72,Data Semantics,Data Semantics - Content Writer (3-6 yrs) Bangalore (Advertising / Content / Design),Associate,3,6,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
73,Data Semantics,Data Semantics - Content Writer (3-6 yrs) Bangalore (Advertising / Content / Design),Associate,3,6,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
74,Cure.Fit,UX Designer,Mid-Senior level,5,NA,"Health, Wellness & Fitness",NA,C NA,,,,,,,,,,,,,,,,,,,,
75,Rockwell Automation,DA&I DATA ENGINEER,Associate,,NA,Industrial Automation,NA,C Python,,,,,,,,,,,,,,,,,,,,
76,Educomp Solutions Ltd,Technical Architect,Associate,58,23,E-learning,NA,Java SQL Angular React,,,,,,,,,,,,,,,,,,,,
77,CORI ENGINEERS PVT. LTD.,Hardware Engineer - R&D,Entry level,0,2,Mechanical Or Industrial Engineering,NA,C,,,,,,,,,,,,,,,,,,,,
78,Infosys,Lead Consultant- Cloud DevOps,232 applicants,10,NA,Information Technology & Services,NA,C Java Python NA SQL PHP,,,,,,,,,,,,,,,,,,,,
79,Accenture in India,Platform as a Service Providers (PaaS),10 applicants,24,7,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
80,NASSCOM Foundation,Manager - Academia Engagement,Associate,15,NA,Non-profit Organization Management,NA,C NA,,,,,,,,,,,,,,,,,,,,
81,ARA Resources Pvt. Ltd.,Full Stack Developer - Node.js/Express.js/NoSQL (5-9 yrs) Delhi NCR (Backend Developer),Entry level,,NA,Staffing & Recruiting,NA,Oracle C Node.js SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
82,Intugine - Logistics through Innovation,Intugine Technologies - Lead - Digital Marketing (2-8 yrs) Bangalore,Associate,2,NA,Logistics & Supply Chain,NA,,,,,,,,,,,,,,,,,,,,,
83,Spark Minda,Head Of Design,43 applicants,15,18,Automotive,NA,C Spark,,,,,,,,,,,,,,,,,,,,
84,Hitachi Vantara,Kubernetes Product Owner,Associate,,NA,Information Technology & Services,NA,C,,,,,,,,,,,,,,,,,,,,
85,Infopark,FullStack Developer - React.js,Entry level,2,2,Information Technology & Services,NA,ReactJS CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
86,DAO EVTech,Senior Shared Mobility Software Solution Manager,19 applicants,5,10,Automotive,NA,C Java Python NA SQL JavaScript PHP,,,,,,,,,,,,,,,,,,,,
87,GITAM Deemed University,Head Of Department (CSE),93 applicants,12,NA,Higher Education,NA,C,,,,,,,,,,,,,,,,,,,,
88,Morse Micro,"Senior IEEE 802.11ah PHY IC Design Engineer [Bangalore, India]",Associate,11,8,Semiconductors,NA,C Python Scala,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP
9,4,88,11,6,40,41,8,4,5,4,21,1,12,2,6,3,10,5,38,31,1,4,11,8,2,5,7,15
