1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
17,Crediwatch,Full Stack Developer - Python,Associate,2,NA,Information Services, Engineering ,C Python SQL,,,,,,,,,,,,,,,,,,,,
18,Avaamo,Full Stack Developer,Entry level,,NA,Computer Software, Engineering Information Technology ,C Node.js CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
19,Goldman Sachs,"IMD Research Full Stack Developer - Equities, Research & QIS",Entry level,,NA,Financial Services, Engineering Information Technology ,C Java JavaScript Angular,,,,,,,,,,,,,,,,,,,,
20,Goldman Sachs,"IMD Research Full Stack Developer - Equities, Research & QIS",Entry level,,NA,Financial Services, Engineering Information Technology ,C Java JavaScript Angular,,,,,,,,,,,,,,,,,,,,
21,FlytBase,Full Stack Developer,Associate,,NA,Industrial Automation, Engineering Information Technology ,C Python Node.js HTML5 CSS JavaScript Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
22,AMW Motors Ltd,JAVA Full Stack Developer,Entry level,59,8,Automotive, Engineering Information Technology ,Oracle Java Python HTML5 ReactJS CSS Spring Hibernate SQL Angular,,,,,,,,,,,,,,,,,,,,
23,Abzooba,Java full stack developer,Associate,,NA,Information Technology & Services, Information Technology ,C Java CSS Spring Angular React,,,,,,,,,,,,,,,,,,,,
24,NextjobHunt.com,Full Stack Developer,Mid-Senior level,8,2,Human Resources, Engineering Information Technology ,C Node.js SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
25,F5,Principal Software Engineer-Java Full Stack Developer (10+ years),274 applicants,8,5,Information Technology & Services, Engineering Information Technology ,C Spark Java HTML5 Golang SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
26,OneOrigin,Full Stack Developer,Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,C Node.js CSS SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
27,Carrier HVAC,Full Stack developer,Associate,5,9,Mechanical Or Industrial Engineering, Information Technology ,C C# ReactJS ASP.NET SQL Angular CSS3,,,,,,,,,,,,,,,,,,,,
28,Conigital Group,Full Stack JavaScript Developer,Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,Node.js JavaScript React,,,,,,,,,,,,,,,,,,,,
29,Webscale Networks,Software Engineer,Entry level,,NA,Computer Software, Engineering Information Technology ,C C++ Golang C/C++,,,,,,,,,,,,,,,,,,,,
30,A.P. Moller - Maersk,Full Stack Engineer,Mid-Senior level,7,12,Logistics & Supply Chain, Information Technology ,Java HTML5 Spring Hibernate SQL JavaScript Angular React CSS3,,,,,,,,,,,,,,,,,,,,
31,Solvative,Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C AngularJS CSS SQL JavaScript AngularJS Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
32,KyePot,KyePot Technologies - Full Stack Developer - Java/Spring Boot/Microservices (4-15 yrs) Bangalore (Backend Developer),Entry level,30,NA,Financial Services, Engineering Information Technology ,C Java NA Spring SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
33,Evertz,Full Stack Engineer,247 applicants,,NA,Broadcast Media, Engineering Information Technology Product Management ,Java Spring JavaScript Angular,,,,,,,,,,,,,,,,,,,,
34,Neemtree,Full Stack Developer,Entry level,,NA,Staffing & Recruiting, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
35,Trillbit,Full - Stack Developer,Entry level,4,8,Information Technology & Services, Engineering Information Technology ,C C# Java Python Node.js Golang CSS Spring SQL JavaScript Ruby Angular React Scala,,,,,,,,,,,,,,,,,,,,
36,ImageKit.io,Full Stack Engineer,"2,897 applicants",,NA,Internet, Engineering Information Technology ,C JavaScript NodeJS,,,,,,,,,,,,,,,,,,,,
37,oneDPO,Full Stack Engineer,154 applicants,3,NA,Information Technology & Services, Engineering Information Technology ,Node.js CSS JavaScript React NodeJS,,,,,,,,,,,,,,,,,,,,
38,Rapyder (Hiring Cloud Engineering Talent!!),Full Stack Java Developer,Associate,1,2,Information Technology & Services, Information Technology ,C Java Node.js Spring Hibernate Angular,,,,,,,,,,,,,,,,,,,,
39,Localytee,Full Stack Engineer,16 applicants,3,NA,Information Technology & Services, Engineering Information Technology ,Python SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
40,SapienHR® Analytics,Full Stack Engineer - Java/Python/C# (3-8 yrs) Bangalore (Backend Developer),Entry level,3,NA,Staffing & Recruiting, Engineering Information Technology ,C Spark C# Java Python Node.js ReactJS AngularJS SQL AngularJS,,,,,,,,,,,,,,,,,,,,
41,EPAM Systems,Full Stack Engineer,102 applicants,5,10,Information Technology & Services, Information Technology Customer Service ,C Java HTML5 AngularJS Spring Hibernate AngularJS Angular CSS3,,,,,,,,,,,,,,,,,,,,
42,OnceHub,Full Stack Developer,Entry level,2,4,Computer Software, Engineering Information Technology ,C Node.js Angular,,,,,,,,,,,,,,,,,,,,
43,Locobuzz,Full Stack Engineer,52 applicants,,NA,Information Technology & Services, Engineering Information Technology ,C ASP.NET SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
44,AppDirect,"Staff Full Stack Engineer, AppHelp",Associate,8,NA,Internet, Engineering Information Technology ,Java Node.js ReactJS AngularJS Spring SQL JavaScript AngularJS CSS3,,,,,,,,,,,,,,,,,,,,
45,SmartServ,Full Stack Developer,83 applicants,1,5,Computer Software, Engineering Information Technology ,C Node.js CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
46,Arcadis,Software Engineer (Full Stack Developer),66 applicants,,NA,Civil Engineering, Design Consulting Engineering ,C AngularJS ASP.NET AngularJS React NodeJS,,,,,,,,,,,,,,,,,,,,
47,ContactWise,Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C C# Node.js ASP.NET JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
48,Connecting Work People AB,Full-stack Developer,Entry level,,NA,Construction, Engineering Information Technology ,CSS SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
49,Digital TaaS,Fullstack Developer,Entry level,5,3,Management Consulting, Engineering Information Technology ,C Java Node.js HTML5 CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
50,Luxoft,Fullstack Java Developer-- Luxoft India,Mid-Senior level,,NA,Information Technology & Services, Information Technology ,Oracle C Spark Java HTML5 ReactJS CSS Spring SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
51,Coda Global,Full Stack Engineer,250 applicants,2,6,Information Technology & Services, Engineering Information Technology ,C Java Python HTML5 JavaScript Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
52,Paxcom India (P) Ltd - A Paymentus Company,Full stack (Nodejs) Developer,Mid-Senior level,1,5,Information Technology & Services, Design Information Technology Other ,PostgreSQL C Spark Java Python AngularJS SQL AngularJS Angular NodeJS,,,,,,,,,,,,,,,,,,,,
53,Synechron,Java Fullstack Developer,171 applicants,5,30,Financial Services, Information Technology ,C Java Spring Hibernate SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
54,comp,Full stack Developer,Entry level,3,4,Human Resources, Engineering Information Technology ,C CSS React,,,,,,,,,,,,,,,,,,,,
55,Diebold Nixdorf,Full Stack Engineer,Entry level,5,NA,Information Technology & Services, Engineering Information Technology ,Oracle C SQL,,,,,,,,,,,,,,,,,,,,
56,Openhouse,Full Stack Software Engineer,169 applicants,4,NA,Education Management, Engineering Information Technology ,C Python SQL React,,,,,,,,,,,,,,,,,,,,
57,Richpanel,Full Stack Developer,Entry level,4,1,Information Technology & Services, Engineering Information Technology ,Node.js SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
58,Jobs via eFinancialCareers,Software Engineering - Full Stack Developer,Entry level,,NA,Staffing & Recruiting, Information Technology ,Java Spring Hibernate SQL Angular React,,,,,,,,,,,,,,,,,,,,
59,Doosra,Full Stack Engineer (MERN),423 applicants,2,4,Information Technology & Services, Engineering Information Technology ,C React NodeJS,,,,,,,,,,,,,,,,,,,,
60,Iris Software Inc.,Java Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C Java Python CSS Angular,,,,,,,,,,,,,,,,,,,,
61,Disc Technology Services Pvt. Ltd,Full Stack Developer,Entry level,5,NA,Computer Hardware, Engineering Information Technology ,Java Angular,,,,,,,,,,,,,,,,,,,,
62,Cognizant,Opportunity at Cognizant for Full Stack Developer,Mid-Senior level,5,12,Information Technology & Services, Information Technology ,Java Spring Angular React,,,,,,,,,,,,,,,,,,,,
63,Oceaneering,Application Developer-Full Stack,Entry level,,NA,Oil & Energy, Engineering Information Technology ,C HTML5 ASP.NET SQL JavaScript Angular CSS3,,,,,,,,,,,,,,,,,,,,
64,Econote,Fullstack Java Developer,Entry level,8,NA,Consumer Electronics, Engineering Information Technology ,C Java Python C++,,,,,,,,,,,,,,,,,,,,
65,HummingWave Technologies,HummingWave Technologies - Full Stack Developer - IT Systems Analysis & Application Program Development (1-4 yrs) Bangalore,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
66,Tekizma Inc.,Tekizma India Solutions - Application Developer - Angular/React.js (2-6 yrs) Bangalore (Frontend Developer),Entry level,2,6,Information Technology & Services, Engineering Information Technology ,ReactJS SQL Angular,,,,,,,,,,,,,,,,,,,,
67,ARA Resources Pvt. Ltd.,Full Stack Developer - Node.Js/Express.Js,Entry level,,NA,Staffing & Recruiting, Engineering Information Technology ,Oracle C Node.js AngularJS SQL JavaScript AngularJS Angular,,,,,,,,,,,,,,,,,,,,
68,Poonam Group,Full Stack Developer,Entry level,5,NA,Security & Investigations, Engineering Information Technology ,Java Python,,,,,,,,,,,,,,,,,,,,
69,Plivo,Full Stack Developer - II,Entry level,4,6,Internet, Engineering Information Technology ,C Python NA Golang CSS JavaScript,,,,,,,,,,,,,,,,,,,,
70,DKATALIS (Digital Katalis),Java - FullStack Engineer,50 applicants,4,NA,Financial Services, Engineering Information Technology ,C Java Node.js Ruby,,,,,,,,,,,,,,,,,,,,
71,Aristocrat,Full Stack Developer,306 applicants,2,7,Gambling & Casinos, Engineering Information Technology ,JavaScript,,,,,,,,,,,,,,,,,,,,
72,LEAD School,Full Stack Developer,Entry level,,NA,Education Management, Engineering Information Technology ,Node.js HTML5 CSS JavaScript React CSS3,,,,,,,,,,,,,,,,,,,,
73,Ceequence Technologies,Refixd Technology - Full Stack Developer - Node.js/React.js/MongoDB (5-6 yrs) Bangalore (DevOps),Entry level,4,NA,Outsourcing/Offshoring, Engineering Information Technology ,C Java ReactJS AngularJS SQL JavaScript AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
74,AppDirect,"Staff Full Stack Engineer, AppHelp",Associate,8,NA,Internet, Engineering Information Technology ,Java Node.js ReactJS AngularJS Spring SQL JavaScript AngularJS CSS3,,,,,,,,,,,,,,,,,,,,
75,UNIFY TECHNOLOGIES,Full Stack Developer,Entry level,5,11,Information Technology & Services, Engineering Information Technology ,C# AngularJS ASP.NET CSS SQL JavaScript AngularJS Angular,,,,,,,,,,,,,,,,,,,,
76,Tracxn,Tracxn - SDE II - Full Stack - Node.js/Express.js/React.js/MongoDB (1-5 yrs) Bangalore (Backend Developer),Entry level,,NA,Venture Capital & Private Equity, Engineering Information Technology ,C Java Python Node.js ReactJS Spring SQL Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
77,NEWJ,Full Stack Engineer,Associate,4,NA,Online Media, Engineering Information Technology ,C Node.js CSS JavaScript React NodeJS,,,,,,,,,,,,,,,,,,,,
78,Prima Automation (India) Pvt.Ltd.,Full Stack Developer,Entry level,,NA,Electrical & Electronic Manufacturing, Engineering Information Technology ,C Node.js JavaScript React,,,,,,,,,,,,,,,,,,,,
79,Robosoft Technologies,Robosoft Technologies - Full Stack Developer - Java/Spring Boot/AngularJS (8-12 yrs) Bangalore/Karnataka,Entry level,,NA,Computer Software, Engineering Information Technology ,Java AngularJS CSS Spring Hibernate SQL AngularJS,,,,,,,,,,,,,,,,,,,,
80,My Placement Management Consultants,Full Stack Developer,34 applicants,4,NA,Staffing & Recruiting, Engineering Information Technology ,PostgreSQL C Java Node.js ReactJS AngularJS SQL AngularJS React,,,,,,,,,,,,,,,,,,,,
81,Sahaj Software Solutions,Full Stack / Application Developer,Associate,3,15,Computer Software, Consulting Information Technology Engineering ,C Java Python Golang Scala,,,,,,,,,,,,,,,,,,,,
82,Digital Magics,FULL STACK DEVELOPER - React J.s & Node J.s 2 TO 5 YEARS EXPERIENCE,Entry level,2,5,Internet, Engineering Information Technology ,C SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
83,M.P Group,Full Stack Developer,Entry level,1,4,Staffing & Recruiting, Engineering Information Technology ,C HTML5 SQL JavaScript Ruby Angular CSS3 NodeJS,,,,,,,,,,,,,,,,,,,,
84,Core HR Services Pvt. Ltd,Full Stack Developer,Entry level,5,NA,Human Resources, Engineering Information Technology ,C Java Spring SQL JavaScript,,,,,,,,,,,,,,,,,,,,
85,Artech India,Java Full Stack Developer - Spring Frameworks (8-12 yrs) Bangalore (Backend Developer),Entry level,12,15,Staffing & Recruiting, Engineering Information Technology ,Oracle C Java Spring Angular,,,,,,,,,,,,,,,,,,,,
86,Verbat Technologies,Full Stack Developer,Mid-Senior level,,NA,Information Technology & Services, Information Technology ,C C# Node.js HTML5 ReactJS ASP.NET SQL JavaScript Angular CSS3,,,,,,,,,,,,,,,,,,,,
87,Talentnook,MEAN Stack and Elastic Developer,114 applicants,2,NA,Education Management, Engineering Information Technology ,C Node.js Angular,,,,,,,,,,,,,,,,,,,,
88,Bitscape,Full Stack Engineer,42 applicants,1,4,Computer Software, Engineering Information Technology ,C# CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
89,Fractal Enterprises LLP,Java Architect,Executive,2,6,Information Technology & Services, Engineering Information Technology ,C Spark Java Python NA Golang Spring Hibernate Angular React,,,,,,,,,,,,,,,,,,,,
90,Caretel Infotech Ltd,Software Engineer,Entry level,2,5,Outsourcing/Offshoring, Engineering Information Technology ,C Java NA SQL JavaScript CSS3,,,,,,,,,,,,,,,,,,,,
91,INVINCIBLE LIMITED,Full Stack Engineer,Entry level,2,3,"Leatherhead, England", Engineering Information Technology ,C Python CSS SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
92,Snapwiz,Fullstack Developer JavaScript,Entry level,0,1,Computer Software, Engineering Information Technology ,C Node.js JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
93,"Innovecture, LLC",Full Stack Developer,Entry level,4,6,Information Technology & Services, Engineering Information Technology ,Java Spring,,,,,,,,,,,,,,,,,,,,
94,Zorang,Zorang Technologies - Full Stack Developer- React.js/Javascript/Node.js (3-6 yrs) Gurgaon/Gurugram/Pune (Frontend Developer),Entry level,2,NA,Information Technology & Services, Engineering Information Technology ,C Node.js CSS SQL JavaScript React NodeJS,,,,,,,,,,,,,,,,,,,,
95,Continental Device India Ltd.,Full Stack Engineer,Associate,3,NA,Semiconductors, Information Technology ,Oracle Java CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
96,Prestige Relocation,Full Stack Web Developer,Entry level,2,NA,Logistics & Supply Chain, Engineering Information Technology ,C C# Java ASP.NET CSS SQL,,,,,,,,,,,,,,,,,,,,
97,Rai Techintro,Full Stack Developer (.NET & Angular),79 applicants,1,3,Computer Software, Engineering Information Technology ,PostgreSQL C Python CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
98,Fidelity Investments,Lead - Software Engineering - Java,Mid-Senior level,6,NA,Financial Services, Quality Assurance Information Technology Engineering ,Java Spring SQL Angular,,,,,,,,,,,,,,,,,,,,
99,Akal Information Systems Ltd.,Full Stack Engineer,Mid-Senior level,3,7,Information Technology & Services, Engineering Information Technology ,C AngularJS SQL JavaScript AngularJS Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
100,"Edkal Technologies Inc.,",Full Stack Engineer,97 applicants,4,10,Information Technology & Services, Information Technology ,C Java Spring SQL Angular React,,,,,,,,,,,,,,,,,,,,
101,Indus Valley Partners,Full Stack Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C# Java Node.js CSS SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
102,OSI Digital,.NET Full Stack Developer,Mid-Senior level,4,8,Information Technology & Services, Information Technology ,C C# HTML5 ASP.NET SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
103,ValueLabs,Angular Full Stack Developer,132 applicants,2,7,Information Technology & Services, Information Technology ,Java CSS JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
104,PayMe India,PayMe India - Full Stack Developer - Python/Django (3-7 yrs) Noida (Backend Developer),Entry level,3,NA,Financial Services, Engineering Information Technology ,PostgreSQL C Python SQL,,,,,,,,,,,,,,,,,,,,
105,NowFloats,Node.js Fullstack Developer,Entry level,,NA,Internet, Engineering Information Technology ,C C# Node.js ASP.NET CSS JavaScript Angular React NodeJS,,,,,,,,,,,,,,,,,,,,
106,Softtrends Software Pvt Ltd,Immediate openings for Role:-Python Full stack Developer -Work Location: Bengaluru / Hyderabad,Entry level,4,5,Information Technology & Services, Engineering Information Technology ,Java Python CSS JavaScript,,,,,,,,,,,,,,,,,,,,
107,Kodsmith Private Limited,Full Stack Engineer,12 applicants,,NA,Information Technology & Services, Engineering Information Technology ,Python JavaScript Angular,,,,,,,,,,,,,,,,,,,,
108,Mastercard,Software Development Engineer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C Java Spring SQL,,,,,,,,,,,,,,,,,,,,
109,SmartDocs Inc,Java Programmer,Entry level,2,5,Information Technology & Services, Engineering Information Technology ,C Java Spring Angular,,,,,,,,,,,,,,,,,,,,
110,Credit Suisse,Bigdata Developer AVP #155676,Entry level,8,NA,Banking, Engineering Information Technology ,C Spark Java Python AngularJS Spring JavaScript AngularJS React Scala,,,,,,,,,,,,,,,,,,,,
111,Mr. Cooper,Lead Fullstack Engineer,Mid-Senior level,6,11,Financial Services, Engineering Information Technology ,Oracle Java Node.js C++ Spring SQL JavaScript Ruby Angular React,,,,,,,,,,,,,,,,,,,,
112,Pratham Software (PSI),Full Stack Developer,Director,8,NA,Information Technology & Services, Engineering Information Technology ,C C# ReactJS CSS SQL Angular React,,,,,,,,,,,,,,,,,,,,
113,Intuz,MERN Stack Full Stack Developer,Entry level,4,12,Information Technology & Services, Engineering Information Technology ,C ReactJS JavaScript NodeJS,,,,,,,,,,,,,,,,,,,,
114,Global Healthcare Resource,Full Stack Developer,Entry level,5,6,Hospital & Health Care, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
115,Crossover for Work,"Software Engineer (Remote) - $60,000/year USD",452 applicants,100,8,Information Technology & Services, Business Development Engineering Information Technology ,C Java C++ SQL JavaScript,,,,,,,,,,,,,,,,,,,,
116,Store 99 India,Dot NET full stack web developer,Entry level,2,3,Retail, Engineering Information Technology ,PostgreSQL C SQL,,,,,,,,,,,,,,,,,,,,
117,Carbynetech,CarbyneTech - Java Full Stack Developer - Backend Website Applications (3-8 yrs) Hyderabad (Backend Developer),Entry level,,NA,Information Technology & Services, Engineering Information Technology ,Oracle C Java Python CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
118,Web Synergies (india),Java Full Stack Developers,Entry level,3,5,Computer Software, Engineering Information Technology ,Java Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
119,Cornertree Productions,Software Engineer/Senior Software Engineer/Lead Engineer - Full Stack Development (2-8 yrs) Bangalore (Backend Developer),Associate,,NA,Motion Pictures & Film, Engineering Information Technology ,CSS SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
120,Spigot Software Pvt. Ltd.,Lead Fullstack Developer,Associate,8,NA,Computer Software, Engineering Information Technology ,C Java Python Node.js Spring Hibernate SQL JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
121,Talent Tigers,Growth Engineer - Full Stack Development - Python/Node.js (2-8 yrs) Bangalore (Backend Developer),Entry level,2,3,Outsourcing/Offshoring, Engineering Information Technology ,C Python ReactJS SQL JavaScript React,,,,,,,,,,,,,,,,,,,,
122,System Soft Technologies,. NET Full Stack Senior Developer,Mid-Senior level,10,NA,Information Technology & Services, Information Technology ,Oracle C C# Java HTML5 ReactJS NA ASP.NET CSS SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
123,GeoVista Technologies Pvt. Ltd,Full Stack Engineer,152 applicants,3,NA,Information Services, Engineering Information Technology ,PostgreSQL C C# Python ASP.NET CSS SQL,,,,,,,,,,,,,,,,,,,,
124,Terminal Contacts LLC,Full Stack Developer - Java/Spring/AWS (4-12 yrs) Bangalore/Chennai,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C Java Spring JavaScript React,,,,,,,,,,,,,,,,,,,,
125,PubNinja,Fullstack Engineer - Node.js,Entry level,4,NA,Internet, Engineering Information Technology ,Golang JavaScript,,,,,,,,,,,,,,,,,,,,
126,Cactus Communications,Full Stack Developer,226 applicants,100,3,Research, Engineering Information Technology Product Management ,C JavaScript Angular,,,,,,,,,,,,,,,,,,,,
127,Cognologix Technologies,Full Stack Engineer - DevOps/Cloud,Entry level,,NA,Computer Software, Engineering Information Technology ,C SQL,,,,,,,,,,,,,,,,,,,,
128,Clerisy Solutions Private Limited,Full Stack Developer,Entry level,2019,2020,Information Technology & Services, Engineering Information Technology ,PostgreSQL C C++ SQL Angular React,,,,,,,,,,,,,,,,,,,,
129,Optum (formerly Alere Wellbeing),Developer - Full Stack,Entry level,5,8,"Health, Wellness & Fitness", Engineering Information Technology ,Python SQL JavaScript Angular,,,,,,,,,,,,,,,,,,,,
130,ORACLE FINANCIAL SERVICES SOFTWARE LIMITED,Principal Full Stack Java Developer-FlexCube Product Development-Mumbai,244 applicants,2,5,Financial Services, Engineering Information Technology ,Oracle C Java Spring JavaScript,,,,,,,,,,,,,,,,,,,,
131,Netispy Solutions Private Limited,Full Stack Engineer,10 applicants,,NA,Information Technology & Services, Engineering Information Technology ,C CSS JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
132,GSVlabs,Full - Stack Engineer Vue.js Node.js JavaScript,Entry level,3,1,Information Technology & Services, Engineering Information Technology ,C Java Node.js CSS JavaScript React NodeJS,,,,,,,,,,,,,,,,,,,,
133,Metacube Software Pvt Ltd,Full Stack Developer,Entry level,2,NA,Computer Software, Engineering Information Technology ,Node.js HTML5 CSS SQL JavaScript,,,,,,,,,,,,,,,,,,,,
134,NatGas Hub,Dotnet Developer,Associate,6,7,Oil & Energy, Engineering Information Technology Production ,C C# ASP.NET Hibernate SQL,,,,,,,,,,,,,,,,,,,,
135,Parity InfoTech Solutions Private Limited,Full Stack Developer,Entry level,5,5,Information Technology & Services, Engineering Information Technology ,Python ReactJS CSS JavaScript React NodeJS,,,,,,,,,,,,,,,,,,,,
136,Wipro Digital,Java Full-Stack Engineer,921 applicants,2,NA,Information Technology & Services, Design Information Technology ,C Java Spring Hibernate SQL Angular,,,,,,,,,,,,,,,,,,,,
137,Wipro Digital,Java Full-Stack Engineer,921 applicants,2,NA,Information Technology & Services, Design Information Technology ,C Java Spring Hibernate SQL Angular,,,,,,,,,,,,,,,,,,,,
138,Wipro Digital,Java Full-Stack Engineer,921 applicants,2,NA,Information Technology & Services, Design Information Technology ,C Java Spring Hibernate SQL Angular,,,,,,,,,,,,,,,,,,,,
139,Educomp Solutions Ltd,Full Stack Developer - AngularJS/Node.js/TypeScript (1-7 yrs) Bangalore (Frontend Developer),Entry level,1,10,E-learning, Engineering Information Technology ,AngularJS SQL AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
140,Educomp Solutions Ltd,Full Stack Developer - AngularJS/Node.js/TypeScript (1-7 yrs) Bangalore (Frontend Developer),Entry level,1,10,E-learning, Engineering Information Technology ,AngularJS SQL AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
141,Educomp Solutions Ltd,Full Stack Developer - AngularJS/Node.js/TypeScript (1-7 yrs) Bangalore (Frontend Developer),Entry level,1,10,E-learning, Engineering Information Technology ,AngularJS SQL AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
142,Educomp Solutions Ltd,Full Stack Developer - AngularJS/Node.js/TypeScript (1-7 yrs) Bangalore (Frontend Developer),Entry level,1,10,E-learning, Engineering Information Technology ,AngularJS SQL AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
143,Educomp Solutions Ltd,Full Stack Developer - AngularJS/Node.js/TypeScript (1-7 yrs) Bangalore (Frontend Developer),Entry level,1,10,E-learning, Engineering Information Technology ,AngularJS SQL AngularJS NodeJS,,,,,,,,,,,,,,,,,,,,
144,Star Agriwarehousing & Collateral Management Ltd,NodeJs Developer,Entry level,5,8,Warehousing, Engineering Information Technology ,Spark CSS SQL JavaScript Angular NodeJS,,,,,,,,,,,,,,,,,,,,
