S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,Java,JavaScript,React,HTML5,CSS,CSS3,NodeJS,Golang,SQL,Hibernate,Scala,Ruby
14,BETSOL,Frontend Developer,483 applicants,,NA,Information Technology & Services, Engineering Information Technology ,PostgreSQL C CSS SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
15,Avnet,Email Developer/Designer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,C CSS,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Goldman Sachs,RAPD Risk Platforms & Data,Entry level,,NA,Financial Services, Information Technology ,C Spark Java Python AngularJS JavaScript AngularJS React Scala,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
17,Vivriti Capital,Front End Developer,219 applicants,3,5,Financial Services, Engineering Information Technology ,C HTML5 CSS JavaScript React,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Qualys,JavaScript Engineer / Front End Engineer,Entry level,2,NA,Computer & Network Security, Engineering Information Technology ,C ReactJS CSS JavaScript,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,BYJU'S,UI / Frontend Developer,396 applicants,3,NA,E-learning, Engineering Information Technology Product Management ,C ReactJS CSS JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Manhattan Associates,Software Engineer,Mid-Senior level,2,4,Computer Software, Engineering Information Technology ,Oracle C Java Hibernate SQL,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
21,Juniper Networks,Senior Front-End Developer,379 applicants,2,7,Computer Networking, Engineering ,CSS JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,AuctionSoftware.com,Front - End Developer,Associate,,NA,Information Technology & Services, Engineering Information Technology ,CSS JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Walmart Labs India,QA Engineer,Entry level,2,6,Information Technology & Services, Quality Assurance ,C,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,GE Healthcare,Staff Software Engineer,Associate,10,8,Hospital & Health Care, Engineering Information Technology ,PostgreSQL C C# Java Python HTML5 AngularJS CSS Spring SQL JavaScript AngularJS NodeJS,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
25,Tracxn,Tracxn - SDE II - Front End - React.js (1-5 yrs) Bangalore,Entry level,,NA,Venture Capital & Private Equity, Engineering Information Technology ,C Java Python Node.js ReactJS Spring SQL Angular React NodeJS,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
26,India_India,FullStack Developer,Entry level,12,6,Public Policy, Engineering Information Technology ,Oracle C Python CSS SQL JavaScript Ruby Angular React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
27,Alation,Software Engineer,Mid-Senior level,2,6,Computer Software, Engineering Information Technology ,C Python React,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Busigence,Backend Developer,Entry level,0,NA,Information Technology & Services, Engineering Information Technology ,Spark Python Node.js CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Zebra Technologies,Web Developer,Entry level,1,2,Information Technology & Services, Engineering Information Technology ,C JavaScript PHP,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,Whatfix,SDE III / Principal Engineer - Front-End,568 applicants,7,6,Internet, Engineering Information Technology ,C Java CSS React,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,ServiceNow,Software Engineer,Entry level,2,NA,Computer Software, Engineering Information Technology ,C Java AngularJS AngularJS React,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Lookout,Staff Software Engineer- Backend,Associate,8,NA,Computer & Network Security, Engineering Information Technology ,C Java SQL Ruby Scala,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
33,91mobiles,Software Engineer,Entry level,2,3,Consumer Electronics, Engineering Information Technology ,Java SQL PHP,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
34,Pocket52,Software Engineer,Entry level,4,NA,Computer Games, Engineering Information Technology ,C Python HTML5 SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
35,Y Media Labs,Backend Engineer,Entry level,,NA,Internet, Engineering Information Technology ,C Java Python SQL JavaScript Ruby PHP,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
36,Analytics India Magazine,Python Backend Developer,Associate,,NA,Online Media, Engineering Information Technology ,Python,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,Mphasis,Java Engineer - AWS,Entry level,5,NA,Information Technology & Services, Engineering Information Technology ,C Java CSS Spring Hibernate SQL JavaScript,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
38,Rheo,Software Engineer,Associate,,NA,Online Media, Engineering Information Technology ,C Python Golang,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
39,Dell Technologies,Senior Principal Front End Engineer,168 applicants,,NA,Information Technology & Services, Information Technology Science Marketing ,JavaScript,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Micron Technology,AEM Front End Developer,Mid-Senior level,5,5,Semiconductors, Marketing ,C HTML5 NA CSS JavaScript CSS3 PHP,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,Barclays,Lead Developer,Associate,,NA,Financial Services, Information Technology ,C Java SQL,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
42,6sense,Full Stack Engineer,33 applicants,6,4,Information Technology & Services, Engineering Information Technology ,C Java Python ReactJS Spring SQL,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
43,Fidelity Investments,Principal Software Engineering - Java,Mid-Senior level,9,15,Financial Services, Quality Assurance Information Technology Engineering ,Oracle PostgreSQL C Java Spring SQL Angular,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
44,Accruent,Software Engineer,Entry level,3,NA,Computer Software, Engineering Information Technology ,Oracle C# HTML5 ASP.NET Golang CSS SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
45,Brightcove,Software Engineer,Entry level,4,NA,Online Media, Engineering Information Technology ,C Ruby,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
46,Neemtree,Java Developer,Entry level,1,3,Staffing & Recruiting, Engineering Information Technology ,Java HTML5 NA CSS Spring Hibernate SQL,,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
47,Wisemonk,BE Developers (SDE II),Associate,3,NA,Information Services, Engineering Information Technology ,C Node.js HTML5 JavaScript,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Everledger,Front-End Developer,Mid-Senior level,4,5,Information Technology & Services, Engineering Information Technology ,C Java JavaScript Angular React,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,Solvative,Front End Javascript Developer,Associate,,NA,Information Technology & Services, Information Technology ,C HTML5 ReactJS AngularJS CSS JavaScript AngularJS Angular React CSS3 NodeJS,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50,MeetApp,Software Engineer,Associate,2,3,Computer Software, Engineering Information Technology ,C C# Node.js HTML5 NA ASP.NET Hibernate SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
51,SHL,Software Engineer,Mid-Senior level,3,5,Human Resources, Engineering Information Technology ,C Java AngularJS CSS JavaScript AngularJS React CSS3,,,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Shubh Loans,Frontend Developer,Entry level,1,3,Information Technology & Services, Engineering Information Technology ,C HTML5 CSS JavaScript,,,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,OptumSoft,Backend web developer - Internet of Things,"1,349 applicants",,NA,Computer Software, Information Technology ,C Java Python HTML5 JavaScript CSS3,,,,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Merkle Sokrati,Sharepoint/Front End Developer,Entry level,,NA,Marketing & Advertising, Engineering Information Technology ,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,DocsApp,Software Engineer - Frontend,Associate,0,1,"Health, Wellness & Fitness", Engineering Information Technology ,C HTML5 AngularJS CSS JavaScript AngularJS Angular React,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,NextjobHunt.com,Full Stack Developer,Mid-Senior level,8,2,Human Resources, Engineering Information Technology ,C Node.js SQL JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,myPAT | Everyone's Personalised Guru,Senior Front-End Developer (Angular 2+),36 applicants,4,2,E-learning, Engineering Information Technology ,C HTML5 CSS JavaScript Angular React NodeJS,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Merkle,Sharepoint/Front End Developer,Entry level,3,NA,Marketing & Advertising, Engineering Information Technology ,C JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,Pegasystems,Associate Architect,Entry level,9,NA,Computer Software, Design Art/Creative Information Technology ,C Java,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,Johnson Controls,Full Stack Engineer,Mid-Senior level,3,4,Mechanical Or Industrial Engineering, Information Technology Engineering ,Oracle Java Spring SQL JavaScript Angular,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
61,"CARE Hospitals, Quality CARE India Limited",Frontend Developer,Entry level,2,NA,Hospital & Health Care, Engineering Information Technology ,C CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,91social,Front End React.js Developer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,CSS JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,OakNorth India,Tech Lead,27 applicants,8,NA,Information Technology & Services, Consulting Information Technology Engineering ,Oracle C Java Spring Hibernate SQL,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
64,Siemens Technology India,Developer - Front End UI (Angular) - ELK Stack,Entry level,1,3,Information Technology & Services, Research ,C Angular NodeJS,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
65,TestUnity - A Crowdsourced Testing Platform,Back End Developer (MERN Stack),54 applicants,8,NA,Computer Software, Engineering Information Technology ,C Node.js HTML5 ReactJS JavaScript Angular CSS3 NodeJS,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
66,ACNX Business Services,Front End web developer,Entry level,9,30,Management Consulting, Engineering Information Technology ,C,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,Arcadis,Software Engineer (Full Stack Developer),66 applicants,,NA,Civil Engineering, Design Consulting Engineering ,C AngularJS ASP.NET AngularJS React NodeJS,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
68,Packt,Front End Developer Angular,Entry level,2,3,E-learning, Engineering Information Technology ,CSS Angular NodeJS,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Bettr,Full Stack Engineer,160 applicants,5,2,Financial Services, Engineering Information Technology ,Python Node.js CSS JavaScript Ruby React PHP,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
70,ATSG,Frontend Developer,264 applicants,2,NA,Information Technology & Services, Design Information Technology Other ,C Java Python CSS SQL Ruby PHP,,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
71,EMINENCE CORE SOLUTIONS LLP,Software Developer | Python Developer,Mid-Senior level,,NA,Human Resources, Engineering Information Technology ,C Python HTML5 JavaScript CSS3,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,StatValu,Frontend Developer,Entry level,2,5,Information Technology & Services, Engineering Information Technology ,C HTML5 ReactJS AngularJS CSS JavaScript AngularJS,,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,Greenhandle,Web Developer,47 applicants,2,1,Internet, Engineering Information Technology ,C SQL PHP,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
74,INVINCIBLE LIMITED,Backend Developer,Entry level,2,3,"Leatherhead, England", Engineering Information Technology ,C Python CSS SQL JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
75,Quartic.ai,Senior Frontend Developer,Mid-Senior level,5,7,Information Technology & Services, Engineering Information Technology ,C NA SQL JavaScript NodeJS,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
76,YouGov India,BI/Finance Applications Developer,Associate,,NA,Market Research, Information Technology ,C C# ASP.NET SQL Angular,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
77,A.P. Moller - Maersk,Senior Front-End Engineer (9 to 12 years only),33 applicants,9,12,Logistics & Supply Chain, Strategy/Planning Information Technology Supply Chain ,C HTML5 JavaScript Angular React CSS3,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,Educomp Solutions Ltd,"Front End React Developer - A South Africa Based IT Company, Pune",Entry level,,NA,E-learning, Engineering Information Technology ,Oracle C Java Node.js ReactJS CSS SQL JavaScript React,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
79,Essence Studios,Web Developer,48 applicants,,NA,Media Production, Engineering Information Technology Design ,Oracle C Java Python CSS SQL JavaScript Ruby Angular React PHP,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
80,Aryaka Networks,UI_UX Developer,378 applicants,3,8,Computer Networking, Information Technology Engineering ,C Java Python HTML5 NA CSS Spring JavaScript Ruby,,,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81,OneOrigin,Full Stack Developer,Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,C Node.js CSS SQL JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
82,Assure HRLabs India Pvt. Ltd.,ReactJS Developers(Front End)(1-4 Years),406 applicants,2,4,Staffing & Recruiting, Engineering Research Information Technology ,JavaScript Angular React,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Grab,"Senior Software Engineer, Full Stack",Mid-Senior level,4,NA,Information Technology & Services, Information Technology Product Management Engineering ,C CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,Synechron,Java Fullstack Developer,179 applicants,5,30,Financial Services, Information Technology ,C Java Spring Hibernate SQL JavaScript Angular,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
85,Digital TaaS,Fullstack Developer,Entry level,5,3,Management Consulting, Engineering Information Technology ,C Java Node.js HTML5 CSS JavaScript React,,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,Recko Inc.,Frontend Engineer,Mid-Senior level,35,NA,Computer Software, Engineering ,Oracle C ReactJS NA CSS JavaScript,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,Ventuno Technologies (P) Ltd,Full Stack Developer,Associate,3,2,Internet, Engineering Information Technology ,C CSS JavaScript PHP,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,KNOREX,Sr. Software Developer / Team Lead / Technical Manager ( Java ),Associate,5,8,Internet, Engineering Information Technology ,C CSS SQL JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
89,YouGotaGift,Frontend Developer,129 applicants,2,10,Internet, Engineering Information Technology ,C Python Node.js CSS JavaScript React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,Foursis Technical Solutions,Front End Developer - Ahmedabad,Entry level,2,3,Staffing & Recruiting, Engineering Information Technology ,Java CSS JavaScript PHP,,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,BOLD,Data Analyst- Product,Associate,3,5,Internet, Business Development Sales ,C Python SQL,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
92,Gartner,Lead Software Engineer,12 applicants,9,12,Information Services, Engineering Information Technology ,C Java Python NA Spring SQL JavaScript Angular React,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,DigiCollect,Frontend Web Developer,"1,016 applicants",,NA,Computer Software, Engineering Information Technology ,C HTML5 CSS JavaScript Angular CSS3 NodeJS,,,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
94,Primus Professional Services,Staff SW Engineer Front End,Associate,8,NA,Telecommunications, Engineering Information Technology ,PostgreSQL C CSS SQL JavaScript Ruby Angular React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
95,BD,"Engineer II, Software",Entry level,4,NA,Medical Device, Engineering Information Technology ,C SQL Angular,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
96,CSG,Software Development Engineer I,Entry level,2,NA,Computer Software, Project Management Information Technology Engineering ,C CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,FourQ Systems,Full Stack Engineer,102 applicants,,NA,Information Technology & Services, Engineering Information Technology ,Oracle C Java Spring Angular,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,Numerator,Engineer - Python / ETL,Entry level,5,2,Market Research, Business Development Sales ,C C# Java Python SQL Angular React,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
99,CitiusTech,Technical Lead-Python,9 applicants,7,11,Information Technology & Services, Engineering Information Technology ,C Python HTML5 SQL JavaScript Angular,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
100,Markelytics Solutions,UI Developer/ Front End Developer / Angular Developer/Angular/Frontend development/UI development,Entry level,,NA,Market Research, Engineering Information Technology ,C HTML5 ReactJS AngularJS CSS JavaScript AngularJS Angular CSS3,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Valuates Reports,Web User Interface Developer,Entry level,9,NA,Market Research, Engineering Information Technology ,CSS JavaScript Angular,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,91springboard,Python Developer,142 applicants,4,5,Hospitality, Engineering Information Technology Design ,C Java Python HTML5 JavaScript,,,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,Wizely,Frontend Engineer,Associate,,NA,Financial Services, Engineering Information Technology ,CSS JavaScript,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,Zeta India,Frontend Developer,Mid-Senior level,4,7,Internet, Engineering Information Technology ,C HTML5 JavaScript,,,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
105,Eli Lilly and Company,UX Developer,Entry level,,NA,Pharmaceuticals, Information Technology ,C AngularJS NA CSS JavaScript AngularJS React,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,Kiwi India Private Limited,Android Developer,Mid-Senior level,3,NA,Computer Software, Engineering Information Technology ,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
